TokenID,description,name,home_url,shopstatusvalue,deliverablevalue,colorvalue
43,"Crypto stamp Edition 1 (CS1), ID 4ouA18","Crypto stamp 4ouA18",https://test.crypto.post.at/CS1/4ouA18,None,0,black
44,"Crypto stamp Edition 1 (CS1), ID 7Ejymu","Crypto stamp 7Ejymu",https://test.crypto.post.at/CS1/7Ejymu,None,0,black
45,"Crypto stamp Edition 1 (CS1), ID 4hyCsn","Crypto stamp 4hyCsn",https://test.crypto.post.at/CS1/4hyCsn,None,0,black
46,"Crypto stamp Edition 1 (CS1), ID 2vC59f","Crypto stamp 2vC59f",https://test.crypto.post.at/CS1/2vC59f,None,0,black
47,"Crypto stamp Edition 1 (CS1), ID 4T9L4N","Crypto stamp 4T9L4N",https://test.crypto.post.at/CS1/4T9L4N,None,0,green
48,"Crypto stamp Edition 1 (CS1), ID 6yv6xX","Crypto stamp 6yv6xX",https://test.crypto.post.at/CS1/6yv6xX,None,0,yellow
49,"Crypto stamp Edition 1 (CS1), ID 5aNnTa","Crypto stamp 5aNnTa",https://test.crypto.post.at/CS1/5aNnTa,None,0,blue
50,"Crypto stamp Edition 1 (CS1), ID 75r45w","Crypto stamp 75r45w",https://test.crypto.post.at/CS1/75r45w,None,0,black
51,"Crypto stamp Edition 1 (CS1), ID Y8jw8","Crypto stamp Y8jw8",https://test.crypto.post.at/CS1/Y8jw8,None,0,black
52,"Crypto stamp Edition 1 (CS1), ID b6iVq","Crypto stamp b6iVq",https://test.crypto.post.at/CS1/b6iVq,None,0,black
53,"Crypto stamp Edition 1 (CS1), ID 3cDjm6","Crypto stamp 3cDjm6",https://test.crypto.post.at/CS1/3cDjm6,None,0,green
54,"Crypto stamp Edition 1 (CS1), ID 4W7JdB","Crypto stamp 4W7JdB",https://test.crypto.post.at/CS1/4W7JdB,None,0,black
55,"Crypto stamp Edition 1 (CS1), ID 53F3YS","Crypto stamp 53F3YS",https://test.crypto.post.at/CS1/53F3YS,None,0,black
56,"Crypto stamp Edition 1 (CS1), ID 23nVa7","Crypto stamp 23nVa7",https://test.crypto.post.at/CS1/23nVa7,None,0,black
57,"Crypto stamp Edition 1 (CS1), ID wrYSk","Crypto stamp wrYSk",https://test.crypto.post.at/CS1/wrYSk,None,0,blue
58,"Crypto stamp Edition 1 (CS1), ID 5nEgiV","Crypto stamp 5nEgiV",https://test.crypto.post.at/CS1/5nEgiV,None,0,black
59,"Crypto stamp Edition 1 (CS1), ID 2avEVQ","Crypto stamp 2avEVQ",https://test.crypto.post.at/CS1/2avEVQ,None,0,black
60,"Crypto stamp Edition 1 (CS1), ID 2jpABV","Crypto stamp 2jpABV",https://test.crypto.post.at/CS1/2jpABV,None,0,green
61,"Crypto stamp Edition 1 (CS1), ID 2iLAuA","Crypto stamp 2iLAuA",https://test.crypto.post.at/CS1/2iLAuA,None,0,green
62,"Crypto stamp Edition 1 (CS1), ID 78p2eq","Crypto stamp 78p2eq",https://test.crypto.post.at/CS1/78p2eq,None,0,blue
63,"Crypto stamp Edition 1 (CS1), ID 4ouA1U","Crypto stamp 4ouA1U",https://test.crypto.post.at/CS1/4ouA1U,None,0,green
64,"Crypto stamp Edition 1 (CS1), ID 4GmR6F","Crypto stamp 4GmR6F",https://test.crypto.post.at/CS1/4GmR6F,None,0,black
65,"Crypto stamp Edition 1 (CS1), ID 2pG82c","Crypto stamp 2pG82c",https://test.crypto.post.at/CS1/2pG82c,None,0,black
66,"Crypto stamp Edition 1 (CS1), ID 2TWJ5o","Crypto stamp 2TWJ5o",https://test.crypto.post.at/CS1/2TWJ5o,None,0,black
67,"Crypto stamp Edition 1 (CS1), ID 3p5e26","Crypto stamp 3p5e26",https://test.crypto.post.at/CS1/3p5e26,None,0,green
68,"Crypto stamp Edition 1 (CS1), ID 4XbHum","Crypto stamp 4XbHum",https://test.crypto.post.at/CS1/4XbHum,None,0,green
69,"Crypto stamp Edition 1 (CS1), ID 3XmmvL","Crypto stamp 3XmmvL",https://test.crypto.post.at/CS1/3XmmvL,None,0,green
70,"Crypto stamp Edition 1 (CS1), ID 23nVaM","Crypto stamp 23nVaM",https://test.crypto.post.at/CS1/23nVaM,None,0,green
71,"Crypto stamp Edition 1 (CS1), ID 3MPrwx","Crypto stamp 3MPrwx",https://test.crypto.post.at/CS1/3MPrwx,None,0,black
72,"Crypto stamp Edition 1 (CS1), ID 6VkLcP","Crypto stamp 6VkLcP",https://test.crypto.post.at/CS1/6VkLcP,None,0,black
73,"Crypto stamp Edition 1 (CS1), ID 3WHne4","Crypto stamp 3WHne4",https://test.crypto.post.at/CS1/3WHne4,None,0,black
74,"Crypto stamp Edition 1 (CS1), ID 3jdgBB","Crypto stamp 3jdgBB",https://test.crypto.post.at/CS1/3jdgBB,None,0,black
75,"Crypto stamp Edition 1 (CS1), ID 5aNnU2","Crypto stamp 5aNnU2",https://test.crypto.post.at/CS1/5aNnU2,None,0,black
76,"Crypto stamp Edition 1 (CS1), ID HJs87","Crypto stamp HJs87",https://test.crypto.post.at/CS1/HJs87,None,0,black
77,"Crypto stamp Edition 1 (CS1), ID 4kwBT2","Crypto stamp 4kwBT2",https://test.crypto.post.at/CS1/4kwBT2,None,0,black
78,"Crypto stamp Edition 1 (CS1), ID 6kaDRw","Crypto stamp 6kaDRw",https://test.crypto.post.at/CS1/6kaDRw,None,0,black
79,"Crypto stamp Edition 1 (CS1), ID SCnpE","Crypto stamp SCnpE",https://test.crypto.post.at/CS1/SCnpE,None,0,black
80,"Crypto stamp Edition 1 (CS1), ID 5kkhSX","Crypto stamp 5kkhSX",https://test.crypto.post.at/CS1/5kkhSX,None,0,black
81,"Crypto stamp Edition 1 (CS1), ID CruHA","Crypto stamp CruHA",https://test.crypto.post.at/CS1/CruHA,None,0,black
82,"Crypto stamp Edition 1 (CS1), ID 36Zz8h","Crypto stamp 36Zz8h",https://test.crypto.post.at/CS1/36Zz8h,None,0,green
83,"Crypto stamp Edition 1 (CS1), ID 3WHneE","Crypto stamp 3WHneE",https://test.crypto.post.at/CS1/3WHneE,None,0,black
84,"Crypto stamp Edition 1 (CS1), ID 6BxVET","Crypto stamp 6BxVET",https://test.crypto.post.at/CS1/6BxVET,None,0,black
85,"Crypto stamp Edition 1 (CS1), ID 4nRAjW","Crypto stamp 4nRAjW",https://test.crypto.post.at/CS1/4nRAjW,None,0,black
86,"Crypto stamp Edition 1 (CS1), ID 3WHneH","Crypto stamp 3WHneH",https://test.crypto.post.at/CS1/3WHneH,None,0,blue
87,"Crypto stamp Edition 1 (CS1), ID 4QBMWN","Crypto stamp 4QBMWN",https://test.crypto.post.at/CS1/4QBMWN,None,0,black
88,"Crypto stamp Edition 1 (CS1), ID 6q2BH9","Crypto stamp 6q2BH9",https://test.crypto.post.at/CS1/6q2BH9,None,0,black
89,"Crypto stamp Edition 1 (CS1), ID 25GUs2","Crypto stamp 25GUs2",https://test.crypto.post.at/CS1/25GUs2,None,0,yellow
90,"Crypto stamp Edition 1 (CS1), ID 7VZrc9","Crypto stamp 7VZrc9",https://test.crypto.post.at/CS1/7VZrc9,None,0,black
91,"Crypto stamp Edition 1 (CS1), ID 2cQDnJ","Crypto stamp 2cQDnJ",https://test.crypto.post.at/CS1/2cQDnJ,None,0,blue
92,"Crypto stamp Edition 1 (CS1), ID 4XbHvB","Crypto stamp 4XbHvB",https://test.crypto.post.at/CS1/4XbHvB,None,0,green
93,"Crypto stamp Edition 1 (CS1), ID 634ZYY","Crypto stamp 634ZYY",https://test.crypto.post.at/CS1/634ZYY,None,0,green
94,"Crypto stamp Edition 1 (CS1), ID 3WHneR","Crypto stamp 3WHneR",https://test.crypto.post.at/CS1/3WHneR,None,0,green
95,"Crypto stamp Edition 1 (CS1), ID 3qZdJv","Crypto stamp 3qZdJv",https://test.crypto.post.at/CS1/3qZdJv,None,0,green
96,"Crypto stamp Edition 1 (CS1), ID 59AzgX","Crypto stamp 59AzgX",https://test.crypto.post.at/CS1/59AzgX,None,0,black
97,"Crypto stamp Edition 1 (CS1), ID 6RJNmn","Crypto stamp 6RJNmn",https://test.crypto.post.at/CS1/6RJNmn,None,0,green
98,"Crypto stamp Edition 1 (CS1), ID 7Bn1E9","Crypto stamp 7Bn1E9",https://test.crypto.post.at/CS1/7Bn1E9,None,0,blue
99,"Crypto stamp Edition 1 (CS1), ID 4uq79U","Crypto stamp 4uq79U",https://test.crypto.post.at/CS1/4uq79U,None,0,green
100,"Crypto stamp Edition 1 (CS1), ID 5USqM5","Crypto stamp 5USqM5",https://test.crypto.post.at/CS1/5USqM5,None,0,green
101,"Crypto stamp Edition 1 (CS1), ID 6vxA8","Crypto stamp 6vxA8",https://test.crypto.post.at/CS1/6vxA8,None,0,black
102,"Crypto stamp Edition 1 (CS1), ID 4FHRpZ","Crypto stamp 4FHRpZ",https://test.crypto.post.at/CS1/4FHRpZ,None,0,blue
103,"Crypto stamp Edition 1 (CS1), ID 2WUGf8","Crypto stamp 2WUGf8",https://test.crypto.post.at/CS1/2WUGf8,None,0,green
104,"Crypto stamp Edition 1 (CS1), ID 4CKTFu","Crypto stamp 4CKTFu",https://test.crypto.post.at/CS1/4CKTFu,None,0,blue
105,"Crypto stamp Edition 1 (CS1), ID 4NhNEL","Crypto stamp 4NhNEL",https://test.crypto.post.at/CS1/4NhNEL,None,0,blue
106,"Crypto stamp Edition 1 (CS1), ID 6dAH2h","Crypto stamp 6dAH2h",https://test.crypto.post.at/CS1/6dAH2h,None,0,black
107,"Crypto stamp Edition 1 (CS1), ID 6hcEsk","Crypto stamp 6hcEsk",https://test.crypto.post.at/CS1/6hcEsk,None,0,blue
108,"Crypto stamp Edition 1 (CS1), ID 2MaLy9","Crypto stamp 2MaLy9",https://test.crypto.post.at/CS1/2MaLy9,None,0,green
109,"Crypto stamp Edition 1 (CS1), ID 71Q6Fv","Crypto stamp 71Q6Fv",https://test.crypto.post.at/CS1/71Q6Fv,None,0,blue
110,"Crypto stamp Edition 1 (CS1), ID 8QwSd","Crypto stamp 8QwSd",https://test.crypto.post.at/CS1/8QwSd,None,0,black
111,"Crypto stamp Edition 1 (CS1), ID 4ouA2J","Crypto stamp 4ouA2J",https://test.crypto.post.at/CS1/4ouA2J,None,0,black
112,"Crypto stamp Edition 1 (CS1), ID 5J4vNs","Crypto stamp 5J4vNs",https://test.crypto.post.at/CS1/5J4vNs,None,0,black
113,"Crypto stamp Edition 1 (CS1), ID 6oYC1E","Crypto stamp 6oYC1E",https://test.crypto.post.at/CS1/6oYC1E,None,0,black
114,"Crypto stamp Edition 1 (CS1), ID 6kaDSZ","Crypto stamp 6kaDSZ",https://test.crypto.post.at/CS1/6kaDSZ,None,0,blue
115,"Crypto stamp Edition 1 (CS1), ID 2JcNQa","Crypto stamp 2JcNQa",https://test.crypto.post.at/CS1/2JcNQa,None,0,black
116,"Crypto stamp Edition 1 (CS1), ID 61aaGb","Crypto stamp 61aaGb",https://test.crypto.post.at/CS1/61aaGb,None,0,green
117,"Crypto stamp Edition 1 (CS1), ID 4gVDcg","Crypto stamp 4gVDcg",https://test.crypto.post.at/CS1/4gVDcg,None,0,yellow
118,"Crypto stamp Edition 1 (CS1), ID 2cQDnm","Crypto stamp 2cQDnm",https://test.crypto.post.at/CS1/2cQDnm,None,0,blue
119,"Crypto stamp Edition 1 (CS1), ID wrYTp","Crypto stamp wrYTp",https://test.crypto.post.at/CS1/wrYTp,None,0,yellow
120,"Crypto stamp Edition 1 (CS1), ID SCnpw","Crypto stamp SCnpw",https://test.crypto.post.at/CS1/SCnpw,None,0,black
121,"Crypto stamp Edition 1 (CS1), ID 6SnN4Y","Crypto stamp 6SnN4Y",https://test.crypto.post.at/CS1/6SnN4Y,None,0,green
122,"Crypto stamp Edition 1 (CS1), ID 4dXF45","Crypto stamp 4dXF45",https://test.crypto.post.at/CS1/4dXF45,None,0,black
123,"Crypto stamp Edition 1 (CS1), ID 3xyZj8","Crypto stamp 3xyZj8",https://test.crypto.post.at/CS1/3xyZj8,None,0,black
124,"Crypto stamp Edition 1 (CS1), ID 6KNRes","Crypto stamp 6KNRes",https://test.crypto.post.at/CS1/6KNRes,None,0,green
125,"Crypto stamp Edition 1 (CS1), ID 5z6azQ","Crypto stamp 5z6azQ",https://test.crypto.post.at/CS1/5z6azQ,None,0,black
126,"Crypto stamp Edition 1 (CS1), ID 78p2fw","Crypto stamp 78p2fw",https://test.crypto.post.at/CS1/78p2fw,None,0,black
127,"Crypto stamp Edition 1 (CS1), ID SCnq4","Crypto stamp SCnq4",https://test.crypto.post.at/CS1/SCnq4,None,0,green
128,"Crypto stamp Edition 1 (CS1), ID 6PpPVy","Crypto stamp 6PpPVy",https://test.crypto.post.at/CS1/6PpPVy,None,0,black
129,"Crypto stamp Edition 1 (CS1), ID 6XEKui","Crypto stamp 6XEKui",https://test.crypto.post.at/CS1/6XEKui,None,0,black
130,"Crypto stamp Edition 1 (CS1), ID 2H8P8V","Crypto stamp 2H8P8V",https://test.crypto.post.at/CS1/2H8P8V,None,0,black
131,"Crypto stamp Edition 1 (CS1), ID 5Gaw6r","Crypto stamp 5Gaw6r",https://test.crypto.post.at/CS1/5Gaw6r,None,0,black
132,"Crypto stamp Edition 1 (CS1), ID 54j2r7","Crypto stamp 54j2r7",https://test.crypto.post.at/CS1/54j2r7,None,0,green
133,"Crypto stamp Edition 1 (CS1), ID 2MaLya","Crypto stamp 2MaLya",https://test.crypto.post.at/CS1/2MaLya,None,0,black
134,"Crypto stamp Edition 1 (CS1), ID 5z6azZ","Crypto stamp 5z6azZ",https://test.crypto.post.at/CS1/5z6azZ,None,0,green
135,"Crypto stamp Edition 1 (CS1), ID 2ti5tr","Crypto stamp 2ti5tr",https://test.crypto.post.at/CS1/2ti5tr,None,0,red
136,"Crypto stamp Edition 1 (CS1), ID 4jTCBh","Crypto stamp 4jTCBh",https://test.crypto.post.at/CS1/4jTCBh,None,0,black
137,"Crypto stamp Edition 1 (CS1), ID 5PzsWg","Crypto stamp 5PzsWg",https://test.crypto.post.at/CS1/5PzsWg,None,0,blue
138,"Crypto stamp Edition 1 (CS1), ID 7PduVb","Crypto stamp 7PduVb",https://test.crypto.post.at/CS1/7PduVb,None,0,black
139,"Crypto stamp Edition 1 (CS1), ID 6yv6z6","Crypto stamp 6yv6z6",https://test.crypto.post.at/CS1/6yv6z6,None,0,black
140,"Crypto stamp Edition 1 (CS1), ID 5epkLB","Crypto stamp 5epkLB",https://test.crypto.post.at/CS1/5epkLB,None,0,black
141,"Crypto stamp Edition 1 (CS1), ID CruJC","Crypto stamp CruJC",https://test.crypto.post.at/CS1/CruJC,None,0,green
142,"Crypto stamp Edition 1 (CS1), ID 4JFQPw","Crypto stamp 4JFQPw",https://test.crypto.post.at/CS1/4JFQPw,None,0,black
143,"Crypto stamp Edition 1 (CS1), ID 5ued9g","Crypto stamp 5ued9g",https://test.crypto.post.at/CS1/5ued9g,None,0,black
144,"Crypto stamp Edition 1 (CS1), ID 5rgeb1","Crypto stamp 5rgeb1",https://test.crypto.post.at/CS1/5rgeb1,None,0,black
145,"Crypto stamp Edition 1 (CS1), ID 6n4CjS","Crypto stamp 6n4CjS",https://test.crypto.post.at/CS1/6n4CjS,None,0,blue
146,"Crypto stamp Edition 1 (CS1), ID 4UdKNR","Crypto stamp 4UdKNR",https://test.crypto.post.at/CS1/4UdKNR,None,0,green
147,"Crypto stamp Edition 1 (CS1), ID 3xyZjY","Crypto stamp 3xyZjY",https://test.crypto.post.at/CS1/3xyZjY,None,0,black
148,"Crypto stamp Edition 1 (CS1), ID 3MPryH","Crypto stamp 3MPryH",https://test.crypto.post.at/CS1/3MPryH,None,0,blue
149,"Crypto stamp Edition 1 (CS1), ID MkpzQ","Crypto stamp MkpzQ",https://test.crypto.post.at/CS1/MkpzQ,None,0,black
150,"Crypto stamp Edition 1 (CS1), ID 5KYufs","Crypto stamp 5KYufs",https://test.crypto.post.at/CS1/5KYufs,None,0,black
